Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,raw_datastring
1666453756.9653075,5353,1666453756,964481592,IMU1_Frame,0,1666453756,964501857,IMU1_Frame,0.029008064865542756,0.05903339962940342,0.9164467556018473,0.3947137368369635,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00052,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.943,-0.802,-9.438,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453756,964518308,IMU1_Frame,-0.3462,-0.0057,0.4217,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.643,+005.726,+004.918,-00.3462,-00.0057,+00.4217,+00.943,-00.802,-09.438,+00.000193,-00.000846,-00.000520*69\r\n'"
1666453756.9903188,5354,1666453756,989499330,IMU1_Frame,0,1666453756,989519119,IMU1_Frame,0.029011509391594116,0.05902540212050299,0.9164472707305477,0.3947134836788131,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000371,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.967,-0.82,-9.427,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453756,989535808,IMU1_Frame,-0.3462,-0.0081,0.4229,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.643,+005.726,+004.917,-00.3462,-00.0081,+00.4229,+00.967,-00.820,-09.427,+00.000599,+00.000258,+00.000371*61\r\n'"
1666453757.0152497,5355,1666453757,14447689,IMU1_Frame,0,1666453757,14467000,IMU1_Frame,0.02901099429668394,0.05902565529143557,0.9164438261707057,0.3947214811749311,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.5e-05,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.972,-0.813,-9.447,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,14482021,IMU1_Frame,-0.3462,-0.0045,0.4241,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.642,+005.726,+004.917,-00.3462,-00.0045,+00.4241,+00.972,-00.813,-09.447,-00.000162,+00.000683,+00.000065*66\r\n'"
1666453757.0401366,5356,1666453757,39403438,IMU1_Frame,0,1666453757,39423465,IMU1_Frame,0.029020905912637417,0.05902182781497941,0.9164334596485687,0.3947453924974224,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000355,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.935,-0.809,-9.386,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,39439916,IMU1_Frame,-0.3473,-0.008,0.4216,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.639,+005.727,+004.916,-00.3473,-00.0080,+00.4216,+00.935,-00.809,-09.386,+00.000308,-00.000076,-00.000355*67\r\n'"
1666453757.065168,5357,1666453757,64438343,IMU1_Frame,0,1666453757,64457893,IMU1_Frame,0.029016430838903103,0.05903033164460135,0.916426054800254,0.3947616404497039,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00018,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.949,-0.835,-9.453,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,64474582,IMU1_Frame,-0.3462,-0.0069,0.4217,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.637,+005.727,+004.917,-00.3462,-00.0069,+00.4217,+00.949,-00.835,-09.453,-00.000928,+00.000502,-00.000180*61\r\n'"
1666453757.090261,5358,1666453757,89489936,IMU1_Frame,0,1666453757,89509010,IMU1_Frame,0.0289998916584834,0.05902376358228937,0.9164237048021431,0.39476929324998516,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000979,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.95,-0.81,-9.393,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,89524507,IMU1_Frame,-0.3451,-0.0093,0.4218,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.636,+005.725,+004.917,-00.3451,-00.0093,+00.4218,+00.950,-00.810,-09.393,+00.000023,-00.002412,-00.000979*62\r\n'"
1666453757.1152256,5359,1666453757,114480495,IMU1_Frame,0,1666453757,114501953,IMU1_Frame,0.02899886149505499,0.059024269716891724,0.9164168146386111,0.39478528780084965,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001386,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.948,-0.826,-9.419,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,114518165,IMU1_Frame,-0.3473,-0.0034,0.4216,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.634,+005.725,+004.917,-00.3473,-00.0034,+00.4216,+00.948,-00.826,-09.419,-00.000150,-00.000469,-00.001386*6C\r\n'"
1666453757.1563396,5360,1666453757,139405250,IMU1_Frame,0,1666453757,139424085,IMU1_Frame,0.02898232253728973,0.059017701063772895,0.916414464164002,0.3947929404288998,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000103,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.983,-0.812,-9.409,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,139440298,IMU1_Frame,-0.3495,-0.0057,0.4203,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.633,+005.723,+004.917,-00.3495,-00.0057,+00.4203,+00.983,-00.812,-09.409,-00.000787,-00.000201,-00.000103*6F\r\n'"
1666453757.2004004,5361,1666453757,164393424,IMU1_Frame,0,1666453757,164412021,IMU1_Frame,0.0289812924796749,0.05901820689173716,0.9164075735877503,0.3948089348184813,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001228,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.966,-0.82,-9.383,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,164427280,IMU1_Frame,-0.3473,-0.0057,0.4216,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.631,+005.723,+004.917,-00.3473,-00.0057,+00.4216,+00.966,-00.820,-09.383,+00.000082,-00.001627,-00.001228*60\r\n'"
1666453757.2004695,5362,1666453757,189529657,IMU1_Frame,0,1666453757,189548969,IMU1_Frame,0.02896130831879182,0.05901963478978148,0.9164047076280697,0.3948168400244052,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000347,0.0,0.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.962,-0.813,-9.416,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1666453757,189564943,IMU1_Frame,-0.3451,-0.0081,0.418,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+133.630,+005.721,+004.918,-00.3451,-00.0081,+00.4180,+00.962,-00.813,-09.416,-00.000698,-00.002419,-00.000347*6A\r\n'"
